Experiment #,Sample Name,Type,Sample,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp #,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
,,,Sample 23,mGapdh,18.445,,,,,,,
RBL 01.22.015,Sjrb 147 S7,Organoids,Sample 24,hGAPDH,18.404,0.8664783427495293,-0.14138780240475127,NM_8.22.20,,,,
,,,Sample 24,mGapdh,21.24,,,,,,,
,,,,,,,,,SJRB 147 p3 (RBL),RBL 01.22.015,2022-07-11,"FAILED
Note: Previously, p3 samples have failed the test, but P3T tumors pass the test. Therefore, MJ plans to test 2D and S7P3T samples if available"
RBL 01.22.017,Sjrb 132 T,Tumor,Sample 3,hGAPDH,20.162,1.0640139321336217,0.2384883310261957,NM_08.22.24,,,,
,,,Sample 3,mGapdh,18.949,,,,,,,
RBL 01.22.017,Sjrb 132 S7,Organoids,Sample 4,hGAPDH,18.132,0.8708515441141156,-0.13297779978054686,NM_08.22.24,,,,
,,,Sample 4,mGapdh,20.821,,,,,,,
RBL 01.22.019,Sjrb 166 T,Tumor,Sample 4,hGAPDH,19.159,0.913725677,-0.051,NM_8.22.44,,,,
 ,,,Sample 4,mGapdh,20.968, , ,,,,,
RBL 01.22.019,Sjrb 166 S7,Organoids,Sample 5,hGAPDH,20.364,0.831319399,-0.209,NM_8.22.44,,,,
 ,,,Sample 5,mGapdh,24.496, , ,,,,,
RBL 01.22.019,Sjrb 166 P1,Cells,Sample 6,hGAPDH,29.149,1.59624336,1.262,NM_8.22.44,,,,
 ,,,Sample 6,mGapdh,18.261, , ,,,,,
RBL 01.23.020,Sjrb 166 S7 Post Thaw,Cells,Sample 30,hGAPDH,31.741,1.7814008306207205,1.6180785204244625,NM_08.23.17,,,,
,,,Sample 30,mGapdh,17.818,,,,,,,
RBL 01.22.021,Sjrb 88 T,Tumor,Sample 7,hGAPDH,18.545,0.853506996,-0.166,NM_8.22.44,,,,
 ,,,Sample 7,mGapdh,21.728, , ,,,,,
RBL 01.22.021,Sjrb 88 S7,Organoids,Sample 8,hGAPDH,19.925,0.82317703,-0.225,NM_8.22.44,,,,
 ,,,Sample 8,mGapdh,24.205, , ,,,,,
RBL 01.22.021,Sjrb 88 P1,Cells,Sample 9,hGAPDH,22.435,1.197938915,0.496,NM_8.22.44,SJRB 88 p1 (RBL) - PASSED,RBL 01.22.021,2022-10-05,PASSED
 ,,,Sample 9,mGapdh,18.728, , ,,,,,
RBL 01.23.021,Sjrb 88 S7 Post Thaw,Cells,Sample 32,hGAPDH,27.707,1.409881945857928,0.9036191266498614,NM_08.23.17,,,,
,,,Sample 32,mGapdh,19.652,,,,,,,
RBL 01.22.023,Sjrb 164 T,Tumor,Sample 1,hGAPDH,17.402,0.894612379,-0.087,NM_8.22.51,SJRB 164 - T - PASSED,RBL 01.22.023,2022-10-05,PASSED
 ,,,Sample 1,mGapdh,19.452, , ,,,,,
RBL 01.22.023,Sjrb 164 S7,Organoids,Sample 2,hGAPDH,18.377,0.91885,-0.041,NM_8.22.51,,,,
 ,,,Sample 2,mGapdh,20.0, , ,,,,,
RBL 01.22.023,Sjrb 164 P1,Cells,Sample 3,hGAPDH,21.017,1.229423808,0.557,NM_8.22.51,,,,
 ,,,Sample 3,mGapdh,17.095, , ,,,,,
RBL 01.23.024,Sjrb 164 T,Tumor,Sample 23,hGAPDH,17.479,0.8394083465398837,-0.19344548742330042,NM_08.23.17,,,,
,,,Sample 23,mGapdh,20.823,,,,,,,
RBL 01.23.024,Sjrb 164 S7,Organoids,Sample 24,hGAPDH,18.575,0.7768716018402342,-0.31370845799954955,NM_08.23.17,SJRB 164 S7 (RBL) - PASSED,RBL 01.23.024,2023-02-23,PASSED
,,,Sample 24,mGapdh,23.91,,,,,,,
RBL 01.23.024,Sjrb 164 S7 Post Thaw 3 Days,Cells,Sample 14,hGAPDH,20.464,1.0333266006867299,0.17947423208986524,NM_08.23.31,,,,
,,,Sample 14,mGapdh,19.804,,,,,,,
RBL 01.22.025,Sjrb 121 T,Tumor,Sample 4,hGAPDH,17.259,0.899515297,-0.078,NM_8.22.51,SJRB 121 - T - PASSED,RBL 01.22.025,2022-10-25,PASSED
 ,,,Sample 4,mGapdh,19.187, , ,,,,,
RBL 01.22.025,Sjrb 121 S7,Organoids,Sample 5,hGAPDH,18.879,0.899642602,-0.078,NM_8.22.51,,,,
 ,,,Sample 5,mGapdh,20.985, , ,,,,,
RBL 01.22.026,Sjrb 128 T,Tumor,Sample 24,hGAPDH,16.876,0.85508715,-0.163,NM_8.22.54,,,,
 ,,,Sample 24,mGapdh,19.736, , ,,,,,
