Experiment #,Sample Name,Type,Sample,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp #,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
WT 01.23.014,Mast 253 T,Tumor,Sample 23,hGAPDH,17.348,1.007491724258087,0.12979177741939812,NM_08.23.20,,,,
,,,Sample 23,mGapdh,17.219,,,,,,,
WT 01.23.014,Mast 253 T Human,Cells,Sample 24,hGAPDH,17.002,0.6679237870752308,-0.5232234863937868,NM_08.23.20,MAST 253 S7 (WT) - PASSED,WT 01.23.014 ,2023-02-23,PASSED
,,,Sample 24,mGapdh,25.455,,,,,,,
WT 01.23.014,Mast 253 S7,Organoids,Sample 25,hGAPDH,19.021,0.6361964010970634,-0.5842376901979548,NM_08.23.20,,,,
,,,Sample 25,mGapdh,29.898,,,,,,,
WT 01.23.014,Mast 253 P1,Cells,Sample 26,hGAPDH,16.714,0.6408988074696115,-0.5751946010199778,NM_08.23.20,,,,
,,,Sample 26,mGapdh,26.079,,,,,,,
WT 01.22.015,Mast 409C T (Wt),Tumor,Sample 1,hGAPDH,38.178,2.167111313,2.36,NM_8.22.59,MAST 409C - T - FAILED,WT 01.23.015,2023-02-23,FAILED
 ,,,Sample 1,mGapdh,17.617, , ,,,,,
WT 01.22.015,Mast 409C S7,Organoids,Sample 2,hGAPDH,35.977,2.119410898,2.268,NM_8.22.59,MAST 409C S7 (WT) - FAILED,WT 01.22.015,2022-12-12,FAILED
 ,,,Sample 2,mGapdh,16.975, , ,,,,,
WT 01.22.015,Mast 409C P1,Cells,Sample 3,hGAPDH,34.095,1.986540815,2.013,NM_8.22.59,,,,
 ,,,Sample 3,mGapdh,17.163, , ,,,,,
WT 01.22.017,Mast 506A T,Tumor,Sample 4,hGAPDH,17.797,0.841863765,-0.189,NM_8.22.59,,,,
 ,,,Sample 4,mGapdh,21.14, , ,,,,,
WT 01.22.017,Mast 506A S6,Organoids,Sample 5,hGAPDH,17.865,0.849258414,-0.175,NM_8.22.59,MAST 506A S7 (WT) - PASSED,WT 01.22.017,2022-12-12,PASSED
 ,,,Sample 5,mGapdh,21.036, , ,,,,,
WT 01.22.017,Mast 506A P1 (Wt),Cells,Sample 24,hGAPDH,15.672,0.630765516,-0.595,NM_8.22.59, MAST 506A p1 (WT) - PASSED,WT 01.23.017,2023-02-09,PASSED
 ,,Cells,Sample 24,mGapdh,24.846, , ,,,,,
WT 01.23.017,Mast 506A P3,Cells,Sample 8,hGAPDH,16.085,0.6132525067673187,-0.6283605639090024,NM_08.23.31,,,,
,,,Sample 8,mGapdh,26.229,,,,,,,
WT 01.23.019,Mast 456 T,Tumor,Sample 17,hGAPDH,17.596,0.7327087237143451,-0.3986370697801054,NM_08.23.20,,,,
