Experiment #,Sample Name,Type,Sample,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp #,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
 ,,, ,mGapdh,24.028, , ,,,,
MAST 607B,P1,G,RMS 01.21.074,hGAPDH,15.115,0.61964498,-0.616,,,,
 ,,, ,mGapdh,24.393, , ,,,,
MAST 607C,S7,G,RMS 01.21.069,hGAPDH,16.221,0.651445783,-0.555,,,,
 ,,, ,mGapdh,24.9, , ,,,,
MAST 607C,P1,G,RMS 01.21.070,hGAPDH,16.293,0.638190364,-0.58,,,,
 ,,, ,mGapdh,25.53, , ,,,,
MAST 74,S7,G,RMS 01.21.019,hGAPDH,15.147,0.7555744,-0.355,,,,
 ,,, ,mGapdh,20.047, , ,,,,
MAST 74,P1,G,RMS 01.21.108,hGAPDH,15.591,0.804779848,-0.26,,,,
 ,,, ,mGapdh,19.373, , ,,,,
MAST 444B,P1,Gf,RMS 01.21.054,hGAPDH,15.28,0.61585587,-0.623,,,,
 ,,, ,mGapdh,24.811, , ,,,,
RH71,S7,B,RMS 01.21.057,hGAPDH,16.307,0.648157717,-0.561,,,,
 ,,, ,mGapdh,25.159, , ,,,,
RH 71,P1,B,RMS 01.21.057,hGAPDH,18.731,0.630015808,-0.596,,,,
 ,,, ,mGapdh,29.731,,,,,,
NM_8.22.9 SAMPLE# RTQPCR,Sample Name,Experiment #,Target Name,human/mouse ration (Ct),mouse contamination %,Notes,,,,,
SAMPLE 1,Mast 39 S7 (B),Rms 01.21.013,hGAPDH,0.72,-0.4212, ,,,,,
SAMPLE 1,,,mGapdh, , , ,,,,,
SAMPLE 2,Mast 39 P1 (B),Rms 01.21.013,hGAPDH,0.56,-0.7404, ,,,,,
SAMPLE 2,,,mGapdh, , , ,,,,,
SAMPLE 3,Mast 71 S7 (G),Rms 01.21.006,hGAPDH,0.72,-0.424, ,,,,,
SAMPLE 3,,,mGapdh, , , ,,,,,
SAMPLE 4,Mast 71 P1 (G),Rms 01.21.014,hGAPDH,0.65,-0.5644, ,,,,,
SAMPLE 4,,,mGapdh, , , ,,,,,
SAMPLE 5,Mast 95 S7 (Bf),Rms 01.21.039,hGAPDH,0.7,-0.4525, ,,,,,
SAMPLE 5,,,mGapdh, , , ,,,,,
 ,Mast 95 P1 (Bf),Rms 01.21.040,hGAPDH,0.61,-0.626,data taken from NM_8.22.2 sample 14,,,,,
 ,,,mGapdh, , , ,,,,,
SAMPLE 6,Mast 111 S7 (B),Rms 01.21.008,hGAPDH,0.65,-0.5571, ,,,,,
SAMPLE 6,,,mGapdh, , , ,,,,,
 ,Mast 111 P1 (B),Rms 01.21.008,hGAPDH,0.56,-0.735,data taken from NM_8.22.2 sample 3,,,,,
 ,,,mGapdh, , , ,,,,,
 ,Mast 139 S7 (B),Rms 01.21.015,hGAPDH,0.55,-0.749,data taken from NM_8.22.2 sample 6,,,,,
 ,,,mGapdh, , , ,,,,,
 ,Mast 139 P1 (B),Rms 01.21.015,hGAPDH,0.44,-0.961,data taken from NM_8.22.2 sample 7,,,,,
 ,,,mGapdh, , , ,,,,,
SAMPLE 7,Mast 161 S7 (G),Rms 01.21.004,hGAPDH,0.76,-0.3408, ,,,,,
