Experiment #,Sample Name,Type,Sample Name.1,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp#,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
NBL 01.23.037,Mast 530A P1,Cells,Sample 8,hGAPDH,17.907,0.836423934,-0.199,NM_08.23.33,MAST 530A p1 (NBL) - PASSED,NBL 01.23.037,2023-05-10,PASSED
 ,,,Sample 8,mGapdh,21.409, , ,,,,,
NBL 01.23.039,Mast 630A T,Tumor,Sample 4,hGAPDH,20.003,0.7828350031308704,-0.3022403785944799,NM_08.23.38,,,,
,,,Sample 4,mGapdh,25.552,,,,,,,
NBL 01.23.039,Mast 630A S7,Organoids,Sample 5,hGAPDH,17.337,0.731179621272827,-0.4015776513984095,NM_08.23.38,,,,
,,,Sample 5,mGapdh,23.711,,,,,,,
NBL 01.23.039,Mast 630A P1,Cells,Sample 6,hGAPDH,19.16,0.8232716022859107,-0.22447768791171013,NM_08.23.38,,,,
,,,Sample 6,mGapdh,23.273,,,,,,,
NBL 01.23.042,Mast 530B T,Tumor,Sample 7,hGAPDH,18.535,0.884430023,-0.107,NM_8.23.40,,,,
 ,,,Sample 7,mGapdh,20.957, , ,,,,,
NBL 01.23.042,Mast 530B S7,Organoids,Sample 8,hGAPDH,17.313,0.645742419,-0.566,NM_8.23.40,,,,
 ,,,Sample 8,mGapdh,26.811, , ,,,,,
NBL 01.23.042,Mast 530B P1,Cells,Sample 9,hGAPDH,17.55,0.691871008,-0.477,xcggzzzx,,,,
 ,,,Sample 9,mGapdh,25.366, , ,,,,,
NBL 01.23.045,Mast 275 P2,Cells,01.30.2024 MP,hGAPDH,20.859,0.73061296,-0.403,EO_06.24.004,,,,
 ,,, ,mGapdh,28.55, , ,,,,,
NBL 01.23.045,Mast 275 S7,Cells,11.21.2023 MP,hGAPDH,17.272,0.806763511,-0.256,,,,,
 ,,, ,mGapdh,21.409, , ,,,,,
NBL 01.23.047,Mast 465A S7,Cells,11.21.2023 MP,hGAPDH,18.869,0.840752128,-0.191,,,,,
 ,,, ,mGapdh,22.443, , ,,,,,
NBL 01.23.047,Mast 465A P2,Cells,12.08.2023 MP,hGAPDH,17.796,0.782482522,-0.303,,,,,
 ,,, ,mGapdh,22.743, , ,,,,,
