Experiment #,Sample Name,Type,Sample,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp #,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
EWS 01.22.011,Mast 297A S7P3T,Tumor,Sample 16,hGAPDH,15.924,0.7192087078271081,-0.42459863879402276,NM_08.23.24,,,,
,,,Sample 16,mGapdh,22.141,,,,,,,
EWS 01.22.013,Mast 659B T,Tumor,Sample 8,hGAPDH,15.777,0.722423188,-0.418,NM_8.22.59,,,,
 ,,,Sample 8,mGapdh,21.839, , ,,,,,
EWS 01.22.013,Mast 659B S7,Organoids,Sample 9,hGAPDH,15.577,0.610623285,-0.633,NM_8.22.59,MAST 659B S7 (EWS) - PASSED,EWS 01.22.013,2023-01-10 00:00:00,PASSED
 ,,,Sample 9,mGapdh,25.51, , ,,,,,
EWS 01.22.013,Mast 659B P1,Cells,Sample 31,hGAPDH,16.241,0.614630639,-0.626,NM_8.23.02,MAST 659B p1 (EWS) - PASSED,EWS 01.22.013,2023-04-04 00:00:00,PASSED
 ,,,Sample 31,mGapdh,26.424, , ,,,,,
EWS 01.22.015,Mast 601E T,Tumor,Sample 32,hGAPDH,16.373,0.968988578,0.056,NM_8.23.02,,,,
 ,,,Sample 32,mGapdh,16.897, , ,,,,,
EWS 01.22.015,Mast 601E S7,Organoids,Sample 33,hGAPDH,16.526,0.707266969,-0.448,NM_8.23.02,MAST 601E S7 (EWS) - PASSED,EWS 01.22.015,2023-01-10 00:00:00,PASSED
 ,,,Sample 33,mGapdh,23.366, , ,,,,,
EWS 01.22.015,Mast 601E P1,Cells,Sample 34,hGAPDH,15.719,0.68174524,-0.497,NM_8.23.02,MAST 601E p1 (EWS) - PASSED,EWS 01.22.015,2023-01-10 00:00:00,PASSED
 ,,,Sample 34,mGapdh,23.057, , ,,,,,
EWS 01.22.015,Mast 601E P3T,Tumor,Sample 19,hGAPDH,16.509,0.710767641107332,-0.4408314594089767,NM_08.23.28,,,,
,,,Sample 19,mGapdh,23.227,,,,,,,
EWS 01.23.017,Mast 619 T,Tumor,Sample 30,hGAPDH,17.537,0.909265308,-0.059,NM_8.23.08,,,,
 ,,,Sample 30,mGapdh,19.287, , ,,,,,
EWS 01.23.017,Mast 619 S7,Organoids,Sample 31,hGAPDH,17.039,0.656153728,-0.546,NM_8.23.08,MAST 619 S7 (EWS) - PASSED,EWS 01.23.017,2023-01-24 00:00:00,PASSED
 ,,,Sample 31,mGapdh,25.968, , ,,,,,
EWS 01.23.017,Mast 619 P1,Cells,Sample 32,hGAPDH,16.908,0.647567982,-0.562,NM_8.23.08,MAST 619 p1 (EWS) - PASSED,EWS 01.23.017 ,2023-02-09 00:00:00,PASSED
 ,,,Sample 32,mGapdh,26.11, , ,,,,,
EWS 01.23.019,Mast 297B T,Tumor,Sample 1,hGAPDH,17.334,0.750422096,-0.365,NM_8.23.11,,,,
 ,,,Sample 1,mGapdh,23.099, , ,,,,,
EWS 01.23.019,Mast 297B S7,Organoids,Sample 2,hGAPDH,16.147,0.717899698,-0.427,NM_8.23.11,MAST 297B S7 (EWS) - PASSED,EWS 01.23.019,2023-01-24 00:00:00,PASSED
 ,,,Sample 2,mGapdh,22.492, , ,,,,,
