Experiment #,Sample,Type,Sample Name,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp#,Injection Method,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
OST 01.22.011,MAST 470A p1,Cells,Sample 9,hGAPDH,21.078,1.2741340748352779,0.6425655285293805,NM_08.22.24,,MAST 470A p3 (OS),OST 01.22.011,2022-07-11,"FAILED
Note: Previously, p3 samples have failed the test, but P3T tumors pass the test. Therefore, MJ plans to test 2D and S7P3T samples if available"
,,,Sample 9,mGapdh,16.543,,,,,,,,
OST 01.22.011,MAST 492A p1 (-DEXA) +flow,Cells,Sample 12,hGAPDH,19.483,0.6021448881196687,-0.6497213690006369,NM_8.22.35,,,,,
,,,Sample 12,mGapdh,32.356,,,,,,,,
OST 01.22.011,MAST 492A p1 (-DEXA) -flow,Cells,Sample 13,hGAPDH,22.364,1.351299093655589,0.7909597954915175,NM_8.22.35,,,,,
,,,Sample 13,mGapdh,16.55,,,,,,,,
OST 01.22.012,MAST 470A T,Tumor,Sample 1,hGAPDH,18.092,0.8558183538315988,-0.1618877810930792,NM_8.22.35,,,,,
,,,Sample 1,mGapdh,21.14,,,,,,,,
OST 01.22.012,MAST 470A S8,Organoids,Sample 2,hGAPDH,23.402,1.3502971553863021,0.7890329911275041,NM_8.22.35,,MAST 470A S8 (OS) ,OST 01.22.012,2022-07-11,PASSED
,,,Sample 2,mGapdh,17.331,,,,,MAST 470A p3 (OS) - FAILED,OST 01.22.012,2022-09-21,FAILED
OST 01.22.013,MAST 586 T,Tumor,Sample 10,hGAPDH,18.433,0.8835258591765326,-0.10860411696820645,NM_08.22.24,PF,,,,
,,,Sample 10,mGapdh,20.863,,,,,,,,
OST 01.22.013,MAST 586 S7,Organoids,Sample 3,hGAPDH,19.827,1.093360538,0.295,NM_8.22.35,,MAST 586 S7 (OS),OST 01.22.013,2022-07-11,PASSED
,,,Sample 3,mGapdh,18.134, , ,,,,,,
,,,,,,,,,,MAST 586 p2 (OS) - PASSED,OST 01.22.013,2022-09-21,PASSED
