Experiment #,Sample,Type,Sample Name,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp#,Injection Method,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
 , ,,Sample 13,mGapdh,37.665, , ,,,,,,
OST 01.23.044,MAST 553 p1,Cells,Sample 13,hGAPDH,16.549,0.49989427578915574,-0.8463571619439312,NM_08.23.17,,MAST 553 p1 (OS3) - PASSED,OST 01.23.044,2023-02-23,PASSED
SAMPLE 13 FROM NM_8.23.12,,,Sample 13,mGapdh,33.105,,,,,,,,
OST 01.23.044,MAST 553 p3,Cells,Sample 3,hGAPDH,17.322,0.4771637926285053,-0.8900696295605667,NM_08.23.31,,,,,
,,,Sample 3,mGapdh,36.302,,,,,,,,
OST 01.22.045,MAST 164 T,Tumor,Sample 1,hGAPDH,17.74,0.775214123,-0.317,NM_8.22.55,,,,,
 , ,,Sample 1,mGapdh,22.884, , ,,,,,,
OST 01.22.045,MAST 164 S7,Organoids,Sample 2,hGAPDH,18.792,1.065185353,0.241,NM_8.22.55,,,,,
 , ,,Sample 2,mGapdh,17.642, , ,,,,,,
OST 01.22.045,MAST 164 p1,Cells,Sample 3,hGAPDH,23.029,1.312792156,0.717,NM_8.22.55,,,,,
 , ,,Sample 3,mGapdh,17.542, , ,,,,,,
OST 01.22.046,MAST 164 T,Tumor,Sample 22,hGAPDH,17.084,0.804710316,-0.26,NM_8.23.02,,,,,
 , ,,Sample 22,mGapdh,21.23, , ,,,MAST 164 S7 (OS3) - PASSED,OST 01.22.046,2023-01-10,PASSED
OST 01.22.046,MAST 164 T depleted,Cells,Sample 23,hGAPDH,17.756,0.640363531,-0.576,NM_8.23.02,,,,,
 ,after column,,Sample 23,mGapdh,27.728, , ,,,,,,
OST 01.22.046,MAST 164 Mouse ,Cells,Sample 24,hGAPDH,21.326,1.230724838,0.559,NM_8.23.02,,,,,
 ,after column,,Sample 24,mGapdh,17.328, , ,,,,,,
OST 01.22.046,MAST 164 S7 depleted,Organoids,Sample 25,hGAPDH,20.105,0.744822732,-0.375,NM_8.23.02,,,,,
 , ,,Sample 25,mGapdh,26.993, , ,,,,,,
OST 01.22.047,MAST 470A T,Tumor,Sample 16,hGAPDH,17.107,0.738580433,-0.387,NM_8.22.59,,,,,
 , ,,Sample 16,mGapdh,23.162, , ,,,,,,
OST 01.22.047,MAST 470A S7,Organoids,Sample 17,hGAPDH,17.216,0.766552384,-0.334,NM_8.22.59,,MAST 470A S7 (OS3) - PASSED,OST 01.23.047 ,2023-02-09,PASSED
 , ,,Sample 17,mGapdh,22.459, , ,,,,,,
OST 01.22.047,MAST 470A p1,Cells,Sample 26,hGAPDH,18.325,0.885351242,-0.105,NM_8.23.02,,,,,
 , ,,Sample 26,mGapdh,20.698, , ,,,,,,
OST 01.22.049,MAST 463 T,Tumor,Sample 14,hGAPDH,17.228,0.794429586,-0.28,NM_8.22.59,,,,,
 , ,,Sample 14,mGapdh,21.686, , ,,,,,,
OST 01.22.049,MAST 463 S7,Organoids,Sample 15,hGAPDH,17.779,0.677992602,-0.504,NM_8.22.59,,MAST 463 S7 (OS3) - PASSED,OST 01.22.049,2023-01-10,PASSED
 , ,,Sample 15,mGapdh,26.223, , ,,,,,,
OST 01.23.050,MAST 463 T,Tumor,Sample 16,hGAPDH,18.942,0.912339852,-0.053,NM_8.23.08,,,,,
 , ,,Sample 16,mGapdh,20.762, , ,,,,,,
OST 01.23.050,MAST 463 S7,Organoids,Sample 17,hGAPDH,22.401,1.284976768,0.663,NM_8.23.08,,MAST 463 S7 (OS) - PASSED,OST 01.23.050,2023-01-24,PASSED
 , ,,Sample 17,mGapdh,17.433, , ,,,,,,
OST 01.22.051,MAST 413A T,Tumor,Sample 18,hGAPDH,36.936,1.126200567,0.358,NM_8.22.59,,,,,
 , ,,Sample 18,mGapdh,32.797, , ,,,,,,
OST 01.22.051,MAST 413A S7 (OS3),Organoids,Sample 19,hGAPDH,18.339,1.074907684,0.259,NM_8.22.59,,MAST 413A S7 (OS3) - PASSED,OST 01.23.051,2023-02-23,PASSED
 , ,,Sample 19,mGapdh,17.061, , ,,,,,,
OST 01.23.52,MAST 413A T,Tumor,Sample 13,hGAPDH,19.622,0.937013514,-0.006,NM_8.23.08,,,,,
 , ,,Sample 13,mGapdh,20.941, , ,,,,,,
OST 01.23.52,MAST 413A S7,Organoids,Sample 14,hGAPDH,19.493,1.135426375,0.376,NM_8.23.08,,MAST 413A S7 (OS) - PASSED,OST 01.23.052,2023-01-24,PASSED
 , ,,Sample 14,mGapdh,17.168, , ,,,,,,
OST 01.22.053,MAST 602 T,Tumor,Sample 13,hGAPDH,17.945,0.808879874,-0.252,NM_8.23.02,,,,,
 , ,,Sample 13,mGapdh,22.185, , ,,,,,,
OST 01.22.053,MAST 602 T depletion,Cells,Sample 14,hGAPDH,18.436,0.631305003,-0.594,NM_8.23.02,,MAST 602 S7 (OS3) - depleted - PASSED,OST 01.22.053,2023-01-10,PASSED
 ,before column,,Sample 14,mGapdh,29.203, , ,,,,,,
OST 01.22.053,MAST 602 T Mouse,Cells,Sample 15,hGAPDH,20.546,1.108497437,0.324,NM_8.23.02,,,,,
 ,before column,,Sample 15,mGapdh,18.535, , ,,,,,,
OST 01.22.053,MAST 602 Mouse Depleted,Cells,Sample 16,hGAPDH,19.962,0.706569446,-0.449,NM_8.23.02,,,,,
 ,after column,,Sample 16,mGapdh,28.252, , ,,,,,,
OST 01.22.053,MAST 602 S7 depleted,Organoids,Sample 17,hGAPDH,20.103,0.855155692,-0.163,NM_8.23.02,,,,,
 , ,,Sample 17,mGapdh,23.508, , ,,,,,,
OST 01.23.053,MAST 602 p3,Cells,Sample 14,hGAPDH,38,1.260615711252654,0.616568675485873,NM_08.23.17,,,,,
,,,Sample 14,mGapdh,30.144,,,,,,,,
OST 01.23.054,MAST 602 T,Tumor,Sample 8,hGAPDH,17.724,0.8062960604130652,-0.25712296074410523,NM_08.23.20,,,,,
,,,Sample 8,mGapdh,21.982,,,,,,,,
OST 01.23.054,MAST 602 T human,Cells,Sample 9,hGAPDH,16.769,0.5848155123108042,-0.6830470917099918,NM_08.23.20,,,,,
,,,Sample 9,mGapdh,28.674,,,,,,,,
OST 01.23.054,MAST 602 S7,Organoids,Sample 10,hGAPDH,17.438,0.5596277278562259,-0.7314851387380269,NM_08.23.20,,,,,
,,,Sample 10,mGapdh,31.16,,,,,,,,
OST 01.23.054,MAST 602 p1,Cells,Sample 11,hGAPDH,17.963,0.7629544682296976,-0.3404721764813507,NM_08.23.20,,,,,
,,,Sample 11,mGapdh,23.544,,,,,,,,
OST 01.22.055,MAST 375 T,Tumor,Sample 10,hGAPDH,16.95,0.85005015,-0.173,NM_8.23.02,,,,,
 , ,,Sample 10,mGapdh,19.94, , ,,,,,,
OST 01.22.055,MAST 375 S7,Organoids,Sample 11,hGAPDH,18.996,1.122164461,0.35,NM_8.23.02,,MAST 375 S7 (OS3) - PASSED,OST 01.22.055,2023-01-10,PASSED
 , ,,Sample 11,mGapdh,16.928, , ,,,,,,
OST 01.22.055,MAST 375 p1,Cells,Sample 12,hGAPDH,25.02,1.578449309,1.228,NM_8.23.02,,MAST 375 p1 (OS3) - FAILED,OST 01.23.055,2023-01-24,FAILED
 , ,,Sample 12,mGapdh,15.851, , ,,,,,,
OST 01.22.057,MAST 634 T,Tumor,Sample 7,hGAPDH,16.294,0.753270769,-0.359,NM_8.23.02,,,,,
 , ,,Sample 7,mGapdh,21.631, , ,,,,,,
OST 01.22.057,MAST 634 S7 ,Organoids,Sample 8,hGAPDH,17.476,0.942153216,0.004,NM_8.23.02,,MAST 634 S7 (OS) - PASSED,OST 01.23.057,2023-01-24,PASSED
 , ,,Sample 8,mGapdh,18.549, , ,,,,,,
OST 01.22.057,MAST 634 p1,Cells,Sample 9,hGAPDH,18.144,0.983467939,0.084,NM_8.23.02,,,,,
 , ,,Sample 9,mGapdh,18.449, , ,,,,,,
OST 01.22.059,MAST 244 T,Tumor,Sample 4,hGAPDH,19.125,0.848905855,-0.175,NM_8.23.02,,,,,
 , ,,Sample 4,mGapdh,22.529, , ,,,,,,
OST 01.22.059,MAST 244 S7,Organoids,Sample 5,hGAPDH,17.563,0.898592991,-0.08,NM_8.23.02,,MAST 244 S7 (OS3) - PASSED,OST 01.23.059,2023-02-23,PASSED
 , ,,Sample 5,mGapdh,19.545, , ,,,,,,
OST 01.22.059,MAST 244 p1,Cells,Sample 6,hGAPDH,19.743,1.220813752,0.54,NM_8.23.02,,,,,
 , ,,Sample 6,mGapdh,16.172, , ,,,,,,
OST 01.23.060,MAST 244 T,Tumor,Sample 21,hGAPDH,16.227,0.757138858,-0.352,NM_08.23.12,,,,,
 , ,,Sample 21,mGapdh,21.432, , ,,,,,,
OST 01.23.060,MAST 244 S7,Orgnoids,Sample 22,hGAPDH,15.241,0.7025121,-0.457,NM_08.23.12,,MAST 244 S7 (OS3) - PASSED,OST 01.23.060,2023-02-23,PASSED
 , ,,Sample 22,mGapdh,21.695, , ,,,,,,
OST 01.22.061,MAST 164 T,Tumor,Sample 19,hGAPDH,17.067,0.768160951,-0.33,NM_8.23.02,,,,,
 , ,,Sample 19,mGapdh,22.218, , ,,,,,,
OST 01.22.061,MAST 164 S7,Organoids,Sample 20,hGAPDH,18.1,1.017482714,0.149,NM_8.23.02,,MAST 164 S7 (OS3) - PASSED,OST 01.23.061,2023-01-10,PASSED
 , ,,Sample 20,mGapdh,17.789, , ,,,,,,
OST 01.22.061,MAST 164 p1,Cells,Sample 21,hGAPDH,21.266,1.270825864,0.636,NM_8.23.02,,,,,
 , ,,Sample 21,mGapdh,16.734, , ,,,,,,
OST 01.23.062,MAST 164 T,Tumor,Sample 4,hGAPDH,16.581,0.7371954472701404,-0.39000875524972983,NM_08.23.20,,,,,
,,,Sample 4,mGapdh,22.492,,,,,,,,
OST 01.23.062,MAST 164 T human,Cells,Sample 5,hGAPDH,16.558,0.5929453894359893,-0.6674127126230974,NM_08.23.20,,,,,
,,,Sample 5,mGapdh,27.925,,,,,,,,
OST 01.23.062,MAST 164 S7,Organoids,Sample 6,hGAPDH,17.765,0.6656799190617154,-0.5275386171890087,NM_08.23.20,,MAST 164 S7 (OS3) - PASSED,OST 01.23.062,2023-02-23,PASSED
,,,Sample 6,mGapdh,26.687,,,,,,,,
OST 01.23.062,MAST 164 p1,Cells,Sample 7,hGAPDH,-,,,NM_08.23.20,,,,,
,,,Sample 7,mGapdh,-,,,,,,,,
OST 01.23.062,MAST 164 p1,Cells,Sample 7,hGAPDH,-,,,NM_08.23.24,,,,,
,,,Sample 7,mGapdh,-,,,,,,,,
OST 01.22.063,MAST 390 T,Tumor,Sample 27,hGAPDH,16.59,0.809347253,-0.251,NM_8.23.02,,,,,
 , ,,Sample 27,mGapdh,20.498, , ,,,,,,
OST 01.22.063,MAST 390 S7,Organoids,Sample 28,hGAPDH,16.321,0.781469955,-0.305,NM_8.23.02,,MAST 390 S7 (OS3) - PASSED,OST 01.23.063,2023-01-10,PASSED
 , ,,Sample 28,mGapdh,20.885, , ,,,,,,
OST 01.22.063,MAST 390 p1,Cells,Sample 29,hGAPDH,17.417,0.940798358,0.002,NM_8.23.02,,,,,
 , ,,Sample 29,mGapdh,18.513, , ,,,,,,
OST 01.23.065,MAST 622 T,Tumor,Sample 25,hGAPDH,17.253,0.78597786,-0.296,NM_8.23.08,,,,,
 , ,,Sample 25,mGapdh,21.951, , ,,,,,,
OST 01.23.065,MAST 622 T pretreated,Cells,Sample 26,hGAPDH,17.489,0.813177105,-0.244,NM_8.23.08,,,,,
 , ,,Sample 26,mGapdh,21.507, , ,,,,,,
OST 01.23.065,MAST 622 T human,Cells,Sample 27,hGAPDH,17.169,0.573906939,-0.704,NM_8.23.08,,,,,
 , ,,Sample 27,mGapdh,29.916, , ,,,,,,
OST 01.23.065,MAST 622 S7,Organoids,Sample 28,hGAPDH,17.362,0.528926123,-0.791,NM_8.23.08,,MAST 622 S7 (OS3) - PASSED,OST 01.23.065,2023-01-24,PASSED
 , ,,Sample 28,mGapdh,32.825, , ,,,,,,
OST 01.23.065,MAST 622 p1,Cells,Sample 29,hGAPDH,16.819,0.675570373,-0.509,NM_8.23.08,,,,,
 , ,,Sample 29,mGapdh,24.896, , ,,,,,,
OST 01.23.066,MAST 622 T,Tumor,Sample 12,hGAPDH,18.128,0.8099003708171381,-0.2501915945824267,NM_08.23.20,,,,,
,,,Sample 12,mGapdh,22.383,,,,,,,,
OST 01.23.066,MAST 622 T human,Cells,Sample 13,hGAPDH,17.508,0.6574293117044046,-0.5434051697992219,NM_08.23.20,,,,,
,,,Sample 13,mGapdh,26.631,,,,,,,,
OST 01.23.066,MAST 622 S7,Organoids,Sample 14,hGAPDH,17.253,0.927381208342292,-0.02426690703405377,NM_08.23.20,,MAST 622 S7 (OS3) - PASSED,OST 01.23.066,2023-04-04,PASSED
,,,Sample 14,mGapdh,18.604,,,,,,,,
OST 01.23.066,MAST 622 p1,Cells,Sample 11,hGAPDH,14.659,0.7756084656084657,-0.3161375661375658,NM_08.23.17,,,,,
,,,Sample 11,mGapdh,18.9,,,,,,,,
OST 01.23.067,MAST 229 T,Tumor,Sample 19,hGAPDH,17.785,0.837848024,-0.196,NM_8.23.08,,,,,
 , ,,Sample 19,mGapdh,21.227, , ,,,,,,
OST 01.23.067,MAST 229 T pretreated,Cells,Sample 20,hGAPDH,17.979,0.809390897,-0.251,NM_8.23.08,,,,,
 , ,,Sample 20,mGapdh,22.213, , ,,,,,,
OST 01.23.067,MAST 229 - mouse,Cells,Sample 21,hGAPDH,17.63,0.876111912,-0.123,NM_8.23.08,,,,,
 , ,,Sample 21,mGapdh,20.123, , ,,,,,,
OST 01.23.067,MAST 229 - human,Cells,Sample 22,hGAPDH,17.575,0.618054579,-0.619,NM_8.23.08,,,,,
 , ,,Sample 22,mGapdh,28.436, , ,,,,,,
OST 01.23.067,MAST 229 S7,Organoids,Sample 23,hGAPDH,18.29,0.581373172,-0.69,NM_8.23.08,,MAST 229 S7 (OS3) - PASSED,OST 01.23.067,2023-01-24,PASSED
 , ,,Sample 23,mGapdh,31.46, , ,,,,,,
OST 01.23.067,MAST 229 p1,Cells,Sample 24,hGAPDH,19.112,0.735416346,-0.393,NM_8.23.08,,MAST 229 p1 (OS3) - PASSED,OST 01.23.067 ,2023-02-09,PASSED
 , ,,Sample 24,mGapdh,25.988, , ,,,,,,
OST 01.23.067,MAST 229 p3,Cells,Sample 15,hGAPDH,14.895,0.4408761284593755,-0.9598535991165854,NM_08.23.17,,,,,
,,,Sample 15,mGapdh,33.785,,,,,,,,
OST 01.23.067,OS 229 p2,Cells,Sample 16,hGAPDH,17.441,0.4918361016327797,-0.8618536507061928,NM_08.23.20,,,,,
,,,Sample 16,mGapdh,35.461,,,,,,,,
OST 01.23.067,MAST 229 S7p3T,Tumor,Sample 5,hGAPDH,17.14,0.847969129,-0.177,NM_08.23.33,,,,,
 , ,,Sample 5,mGapdh,20.213, , ,,,,,,
OST 01.23.069,MAST 492D T,Tumor,Sample 16,hGAPDH,15.529,0.731913089,-0.4,NM_08.23.12,,,,,
 , ,,Sample 16,mGapdh,21.217, , ,,,,,,
OST 01.23.069,MAST 492D T mouse,Cells,Sample 17,hGAPDH,16.273,0.73944654,-0.386,NM_08.23.12,,,,,
 , ,,Sample 17,mGapdh,22.007, , ,,,,,,
OST 01.23.069,MAST 492D T human,Cells,Sample 18,hGAPDH,15.617,0.58860998,-0.676,NM_08.23.12,,,,,
 , ,,Sample 18,mGapdh,26.532, , ,,,,,,
OST 01.23.069,MAST 492D S7,Orgnoids,Sample 19,hGAPDH,15.434,0.520188743,-0.807,NM_08.23.12,,,,,
 , ,,Sample 19,mGapdh,29.67, , ,,,,,,
OST 01.23.069,MAST 492D p1,Cells,Sample 20,hGAPDH,18.062,0.624442524,-0.607,NM_08.23.12,,,,,
 , ,,Sample 20,mGapdh,28.925, , ,,,,,,
OST 01.23.071,MAST 470D T,Tumor,Sample 14,hGAPDH,17.799,0.806991295,-0.256,NM_08.23.12,,,,,
 , ,,Sample 14,mGapdh,22.056, , ,,,,,,
OST 01.23.071,MAST 470D S7,Orgnoids,Sample 15,hGAPDH,17.535,1.021139064,0.156,NM_08.23.12,,MAST 492D S7 (OS3) - PASSED,OST 01.23.069 ,2023-02-09,PASSED
 , ,,Sample 15,mGapdh,17.172, , ,,,,,,
OST 01.23.073,MAST 463 T,Tumor,Sample 2,hGAPDH,16.477,0.711872462,-0.439,NM_08.23.12,,,,,
 , ,,Sample 2,mGapdh,23.146, , ,,,,,,
OST 01.23.073,MAST 463 T pretreat,Cells,Sample 3,hGAPDH,17.393,0.774088744,-0.319,NM_08.23.12,,,,,
 , ,,Sample 3,mGapdh,22.469, , ,,,,,,
OST 01.23.073,MAST 463 T mouse,Cells,Sample 4,hGAPDH,17.427,0.813509476,-0.243,NM_08.23.12,,,,,
 , ,,Sample 4,mGapdh,21.422, , ,,,,,,
OST 01.23.073,MAST 463 T human,Cells,Sample 5,hGAPDH,16.848,0.588885005,-0.675,NM_08.23.12,,,,,
 , ,,Sample 5,mGapdh,28.61, , ,,,,,,
OST 01.23.073,MAST 463 S7,Orgnoids,Sample 6,hGAPDH,17.77,0.687693498,-0.485,NM_08.23.12,,,,,
 , ,,Sample 6,mGapdh,25.84, , ,,,,,,
OST 01.23.073,MAST 463 p1,Cells,Sample 7,hGAPDH,17.303,0.952074392,0.023,NM_08.23.12,,,,,
 , ,,Sample 7,mGapdh,18.174, , ,,,,,,
OST 01.23.074,MAST 463 T,Tumor,Sample 1,hGAPDH,18.225,0.8531504540773337,-0.16701835754358893,NM_08.23.20,,,,,
,,,Sample 1,mGapdh,21.362,,,,,,,,
OST 01.23.074,MAST 463 S7,Organoids,Sample 2,hGAPDH,24.281,1.4425499049429658,0.9664421248903188,NM_08.23.20,,,,,
,,,Sample 2,mGapdh,16.832,,,,,,,,
OST 01.23.074,MAST 463 p1,Cells,Sample 3,hGAPDH,32.842,1.9468848183057679,1.9363169582803228,NM_08.23.20,,,,,
,,,Sample 3,mGapdh,16.869,,,,,,,,
OST 01.23.075,OS 45 T,Tumor,Sample 1,hGAPDH,15.549,0.8069437957340807,-0.25587731589599855,NM_08.23.17,,,,,
,,,Sample 1,mGapdh,19.269,,,,,,,,
OST 01.23.075,OS 45 S7,Organoids,Sample 2,hGAPDH,15.94,0.667699912034516,-0.5236540153182384,NM_08.23.17,,,,,
,,,Sample 2,mGapdh,23.873,,,,,,,,
OST 01.23.077,MAST 413B T,Tumor,Sample 3,hGAPDH,14.878,0.7307824549339358,-0.40234143281935414,NM_08.23.17,,,,,
,,,Sample 3,mGapdh,20.359,,,,,,,,
OST 01.23.077,MAST 413B S7,Organoids,Sample 4,hGAPDH,14.48,0.7957355608067265,-0.27743161383321824,NM_08.23.17,,MAST 413B S7 (OS3) thawed - PASSED,OST 01.23.077,2023-04-04,PASSED - trisomy at one locus
,,,Sample 4,mGapdh,18.197,,,,,,,,
OST 01.23.077,MAST 413B p1,Cells,Sample 5,hGAPDH,14.819,0.6635472171226438,-0.5316399670718388,NM_08.23.17,,,,,
,,,Sample 5,mGapdh,22.333,,,,,,,,
OST 01.23.077,MAST 413B p3,Cells,Sample 4,hGAPDH,15.812,0.6463110566114858,-0.5647864295932964,NM_08.23.31,,MAST 413B p2 (OS3) - PASSED,OST 01.23.077,2023-05-10,PASSED
,,,Sample 4,mGapdh,24.465,,,,,,,,
OST 01.23.079,MAST 117 T,Tumor,Sample 12,hGAPDH,15.275,0.7024926416482709,-0.4567449199071713,NM_08.23.17,,,,,
,,,Sample 12,mGapdh,21.744,,,,,,,,
OST 01.23.079,MAST 117 S7,Organoids,Sample 13,hGAPDH,17.571,0.9404303147077714,0.0008275282841758456,NM_08.23.17,,,,,
,,,Sample 13,mGapdh,18.684,,,,,,,,
OST 01.23.081,MAST 622 T,Tumor,Sample 6,hGAPDH,15.319,0.7451962835044025,-0.3746225317223028,NM_08.23.17,,,,,
,,,Sample 6,mGapdh,20.557,,,,,,,,
OST 01.23.081,MAST 622 T-human,Cells,Sample 8,hGAPDH,15.622,0.5525217514324113,-0.7451504780145934,NM_08.23.17,,MAST 622 S7 (OS3) - PASSED,OST 01.23.081,2023-04-04,PASSED
,,,Sample 8,mGapdh,28.274,,,,,,,,
OST 01.23.081,MAST 622 S7,Organoids,Sample 10,hGAPDH,15.728,0.5623167679656775,-0.7263139077583123,NM_08.23.17,,,,,
,,,Sample 10,mGapdh,27.97,,,,,,,,
OST 01.23.081,MAST 622 p1,Cells,Sample 15,hGAPDH,16.094,0.6957762310319485,-0.46966109416932966,NM_08.23.20,,,,,
,,,Sample 15,mGapdh,23.131,,,,,,,,
OST 01.23.083,MAST 352 T,Tumor,Sample 8,hGAPDH,18.507,0.8444900752908967,-0.18367293213289085,NM_08.23.24,,,,,
,,,Sample 8,mGapdh,21.915,,,,,,,,
OST 01.23.083,MAST 352 S7,Organoids,Sample 9,hGAPDH,16.605,0.8585832471561531,-0.15657067854585935,NM_08.23.24,,MAST 352 S7 (OS3) - PASSED,OST 01.23.083,2023-04-04,PASSED
,,,Sample 9,mGapdh,19.34,,,,,,,,
OST 01.23.083,MAST 352 p1,Cells,Sample 10,hGAPDH,17.611,0.8537424859414389,-0.16587983472800208,NM_08.23.24,,,,,
,,,Sample 10,mGapdh,20.628,,,,,,,,
OST 01.23.083,MAST 352 S7 post thaw 7 days,Cells,Sample 5,hGAPDH,18.723,1.0063423810803547,0.12758150207760524,NM_08.23.31,,,,,
,,,Sample 5,mGapdh,18.605,,,,,,,,
OST 01.23.085,MAST 492A T,Tumor,Sample 11,hGAPDH,17.224,0.8941029900332226,-0.0882634807053411,NM_08.23.24,,,,,
,,,Sample 11,mGapdh,19.264,,,,,,,,
OST 01.23.085,MAST 492A T human,Cells,Sample 12,hGAPDH,17.566,0.687111284959906,-0.4863244520001806,NM_08.23.24,,,,,
,,,Sample 12,mGapdh,25.565,,,,,,,,
OST 01.23.085,MAST 492A S7,Organoids,Sample 13,hGAPDH,17.773,0.6298908420754181,-0.5963637652395805,NM_08.23.24,,,,,
,,,Sample 13,mGapdh,28.216,,,,,,,,
OST 01.23.087,MAST 389 T,Tumor,Sample 20,hGAPDH,13.186,0.7141851270107783,-0.4342593711331185,NM_08.23.28,,,,,
,,,Sample 20,mGapdh,18.463,,,,,,,,
OST 01.23.087,MAST 389 T human,Cells,Sample 21,hGAPDH,-,,,NM_08.23.28,,,,,
,,,Sample 21,mGapdh,34.36,,,,,,,,
OST 01.23.087,MAST 389 S7,Organoids,Sample 22,hGAPDH,14.763,0.5181272593268522,-0.8112937320637456,NM_08.23.28,,,,,
,,,Sample 22,mGapdh,28.493,,,,,,,,
OST 01.23.087,MAST 389 p1,Cells,Sample 23,hGAPDH,18.621,0.9033181333074608,-0.07054205133180605,NM_08.23.28,,,,,
,,,Sample 23,mGapdh,20.614,,,,,,,,
OST 01.23.087,MAST 389 S7 post thaw 7 days,Cells,Sample 6,hGAPDH,23.232,0.7531852812449343,-0.3592590745289723,NM_08.23.31,,,,,
,,,Sample 6,mGapdh,30.845,,,,,,,,
OST 01.23.089,OS 39 T,Tumor,Sample 24,hGAPDH,18.206,0.9149663282741984,-0.04814167639577213,NM_08.23.28,,,,,
,,,Sample 24,mGapdh,19.898,,,,,,,,
OST 01.23.089,OS 39 T human,Tumor,Sample 25,hGAPDH,17.677,0.7004953437685754,-0.4605858773681242,NM_08.23.28,,,,,
,,,Sample 25,mGapdh,25.235,,,,,,,,
OST 01.23.089,OS 39 S7,Organoids,Sample 26,hGAPDH,17.108,0.6852793911476067,-0.4898473247161408,NM_08.23.28,,OS39 S7 (OS3) - PASSED,OST 01.23.089,2023-05-10,PASSED
,,,Sample 26,mGapdh,24.965,,,,,,,,
OST 01.23.089,OS 39 p1,Cells,Sample 27,hGAPDH,17.403,0.6061439866253352,-0.6420307949512783,NM_08.23.28,,,,,
,,,Sample 27,mGapdh,28.711,,,,,,,,
OST 01.23.090,OS39 T,Tumor,Sample 23,hGAPDH,17.18,0.8425285665244471,-0.1874450643760632,NM_08.23.32,,,,,
,,,Sample 23,mGapdh,20.391,,,,,,,,
OST 01.23.090,OS39 T human,Cells,Sample 24,hGAPDH,-,,,NM_08.23.32,,,,,
,,,Sample 24,mGapdh,33.246,,,,,,,,
OST 01.23.090,OS39 S7,Organoids,Sample 25,hGAPDH,16.429,0.6603826674169949,-0.5377256395827019,NM_08.23.32,,,,,
,,,Sample 25,mGapdh,24.878,,,,,,,,
OST 01.23.090,OS39 p1,Cells,Sample 26,hGAPDH,17.451,0.6441860465116279,-0.5688729874776385,NM_08.23.32,,,,,
,,,Sample 26,mGapdh,27.09,,,,,,,,
OST 01.23.092,MAST 141 T,Tumor,Sample 13,hGAPDH,16.317,0.7603448275862069,-0.3454907161803712,NM_08.23.32,,,,,
,,,Sample 13,mGapdh,21.46,,,,,,,,
OST 01.23.092,MAST 141 T human,Cells,Sample 14,hGAPDH,16.745,0.645876726066497,-0.5656216806413518,NM_08.23.32,,,,,
,,,Sample 14,mGapdh,25.926,,,,,,,,
OST 01.23.092,MAST 141 S7,Organoids,Sample 15,hGAPDH,15.298,0.5506839452843773,-0.7486847206069667,NM_08.23.32,,,,,
,,,Sample 15,mGapdh,27.78,,,,,,,,
OST 01.23.092,MAST 141 p1,Cells,Sample 16,hGAPDH,17.085,0.6698949184441656,-0.5194328491458353,NM_08.23.32,,MAST 141 p1 (OS3) - PASSED,OST 01.23.092,2023-05-10,PASSED
,,,Sample 16,mGapdh,25.504,,,,,,,,
OST 01.23.093,MAST 152 T,Tumor,Sample 14,hGAPDH,18.132,0.7846633200623161,-0.29872438449554584,NM_08.23.24,,,,,
,,,Sample 14,mGapdh,23.108,,,,,,,,
OST 01.23.093,MAST 152 S7,Organoids,Sample 1,hGAPDH,17.355,0.9717789349907608,0.061113336520694034,NM_08.23.31,,,,,
,,,Sample 1,mGapdh,17.859,,,,,,,,
OST 01.23.093,MAST 152 p1,Cells,Sample 2,hGAPDH,24.678,1.5157545605306801,1.1072203087128465,NM_08.23.31,,,,,
,,,Sample 2,mGapdh,16.281,,,,,,,,
OST 01.23.095,MAST 229 T,Tumor,Sample 1,hGAPDH,17.72,0.840567336,-0.191,NM_08.23.33,,,,,
 , ,,Sample 1,mGapdh,21.081, , ,,,,,,
OST 01.23.095,MAST 229 T human,Cells,Sample 2,hGAPDH,17.944,0.632031278,-0.592,NM_08.23.33,,,,,
 , ,,Sample 2,mGapdh,28.391, , ,,,,,,
OST 01.23.095,MAST 229 S7,Organoids,Sample 3,hGAPDH,18.04,0.623186403,-0.609,NM_08.23.33,,,,,
 , ,,Sample 3,mGapdh,28.948, , ,,,,,,
OST 01.23.095,MAST 229 p1,Cells,Sample 4,hGAPDH,19.159,0.690812721,-0.479,NM_08.23.33,,MAST 229 p1 (OS3) - PASSED,OST 01.23.095,2023-05-10,PASSED
 , ,,Sample 4,mGapdh,27.734, , ,,,,,,
OST 01.23.097,MAST 622 T,Tumor,Sample 9,hGAPDH,16.16,0.7334452866155312,-0.39722060266243986,NM_08.23.32,,,,,
,,,Sample 9,mGapdh,22.033,,,,,,,,
OST 01.23.097,MAST 622 T human,Cells,Sample 10,hGAPDH,16.282,0.5864217540068432,-0.6799581653714554,NM_08.23.32,,,,,
,,,Sample 10,mGapdh,27.765,,,,,,,,
OST 01.23.097,MAST 622 S7,Organoids,Sample 11,hGAPDH,17.333,0.6026982857540247,-0.6486571427807215,NM_08.23.32,,,,,
,,,Sample 11,mGapdh,28.759,,,,,,,,
OST 01.23.097,MAST 622 p1,Cells,Sample 12,hGAPDH,15.707,0.8574626050878916,-0.15872575944636214,NM_08.23.32,,,,,
