lab_id_number,date_ordered,sample_name,ordered_by,notebook_page_number,srm_order_number,srm_sample_number,assay,tissue,tumor_type,species,failed,notes,extra_unnamed_col1,source_file,source_sheet
NA,NA,do not use DYE6980-7052 oops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
NA,NA,what? ^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
NA,NA,do not use DYE6980-7052 oops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025.xlsx,Sheet1
NA,NA,what? ^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025.xlsx,Sheet1
