lab_id_number,date_ordered,sample_name,ordered_by,notebook_page_number,srm_order_number,srm_sample_number,assay,tissue,tumor_type,species,failed,notes,extra_unnamed_col1,source_file,source_sheet
DYE2500,45639,"DL6-14-24 Olimar-F O-TxRBV8847F_12m_NR_12/10/24_M_dual index plate TT G7: R1- 28cyc, i7-10cyc, i5-10cyc, R2-90 cyc, 250000000 reads",Danielle Little,DL6-14-24,841749,3250821,scRNA,retina,NA,mouse,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2501,45639,"DL6-13-24 Nia-J N-TxR546J_25m_NR_12/4/24_M_dual index plate TT G8: R1- 28cyc, i7-10cyc, i5-10cyc, R2-90 cyc, 250000000 reads",Danielle Little,DL6-13-24,841749,3250822,scRNA,retina,NA,mouse,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2502,45639,"DL6-13-24 Nia-J N-TxR500J_25m_NR_12/4/24_F_dual index plate TT G9: R1- 28cyc, i7-10cyc, i5-10cyc, R2-90 cyc, 250000000 reads",Danielle Little,DL6-13-24,841749,3250823,scRNA,retina,NA,mouse,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2503,45639,"DL6-13-24 Nia-C N-TxL948C_3m_NR_12/4/24_F_dual index plate TT G10: R1- 28cyc, i7-10cyc, i5-10cyc, R2-90 cyc, 250000000 reads",Danielle Little,DL6-13-24,841749,3250824,scRNA,retina,NA,mouse,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2504,45642,MERTK K619M Clone 1C12,Madison Parks,MP 01.24.059,841842,3251427,Powerplex,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2505,45642,MERTK K621I Clone 2G4,Madison Parks,MP 01.24.059,841842,3251428,Powerplex,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2506,45642,MERTK L564S Clone 6F1,Madison Parks,MP 01.24.059,841842,3251429,Powerplex,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2507,45642,MERTK R629W Clone 1G2,Madison Parks,MP 01.24.059,841842,3251430,Powerplex,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2508,45642,MERTK K666N Clone 1H9,Madison Parks,MP 01.24.059,841842,3251431,Powerplex,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2509,45642,MERTK del 2F9,Madison Parks,MP 01.24.059,841842,3251432,Powerplex,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2510,45642,MERTK del 3E2,Madison Parks,MP 01.24.059,841842,3251433,Powerplex,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2511,45642,MERTK K619M 1C12 (1),Madison Parks,MP 01.24.060,841844,3251438,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2512,45642,MERTK K619M 1C12 (2),Madison Parks,MP 01.24.060,841844,3251439,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2513,45642,MERTK K621I 2G4 (1),Madison Parks,MP 01.24.060,841844,3251440,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2514,45642,MERTK K621I 2G4 (2),Madison Parks,MP 01.24.060,841844,3251441,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2515,45642,MERTK L564S 6F1 (1),Madison Parks,MP 01.24.060,841844,3251442,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2516,45642,MERTK L564S 6F1 (2),Madison Parks,MP 01.24.060,841844,3251443,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2517,45642,MERTK R629W 1G2 (1),Madison Parks,MP 01.24.060,841844,3251444,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2518,45642,MERTK R629W 1G2 (2),Madison Parks,MP 01.24.060,841844,3251445,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2519,45642,MERTK K666N 1H9 (1),Madison Parks,MP 01.24.060,841844,3251446,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2520,45642,MERTK K666N 1H9 (2),Madison Parks,MP 01.24.060,841844,3251447,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2521,45642,MERTK del 2F9 (1),Madison Parks,MP 01.24.060,841844,3251448,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2522,45642,MERTK del 2F9 (2),Madison Parks,MP 01.24.060,841844,3251449,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2523,45642,MERTK del 3E2 (1),Madison Parks,MP 01.24.060,841844,3251450,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2524,45642,MERTK del 3E2 (2),Madison Parks,MP 01.24.060,841844,3251451,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2525,45642,MAST 987_1.3,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251662,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2526,45642,MAST 268_1.4 LUC+,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251663,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2527,45642,MAST 448_1.4 LUC+,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251664,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2528,45642,MAST 215_2.5 LUC+,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251665,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2529,45642,MAST 389_1.4 LUC+,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251666,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2530,45642,MAST 1045_1.3 LUC+,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251667,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2531,45642,OS48p3.3 YFP,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251668,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2532,45642,MAST 648B_1.5 LUC+,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251669,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2533,45642,OS58p4.3 YFP,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251670,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2534,45642,MAST 648B_1.5 LUC+,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251671,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2535,45642,MAST 834_1.3 LUC+,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251672,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2536,45642,MAST 243B_1.4 LUC+,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251673,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2537,45642,MAST 1076B_1.3 LUC+,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251674,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2538,45642,MAST 533_1.3 YFP,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251675,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2539,45642,MAST 637A_1.2 YFP,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251676,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2540,45642,MAST 164_2.5 LUC+,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251677,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
